job_link,jobTitle,jobCityOrRemote,jobState,jobZip,remoteJob,bottomRangeSalary,topRangeSalary,compensationPeriod,salaryInfoAvailable,jobRequirements,degreeRequired,pythonRequired,sqlRequired,gisRequired,visualizationBasedJob,seniorPosition,analystPosition,companyOrHiringEntity,companyLocation,linkToCompanyJobs,linkToOtherSimilarJobs,salaryReferenceLink,companyRatingNumber,mat href 4,companyLocation 2
https://www.indeed.com/company/Berkeley-Coding-Academy/jobs/Data-Science-Instructor-48eaf76f2e207e75?fccid=733e73c48cfbf52a&vjs=3,Data Science Instructor - Independent Study,Remote,,,Yes,$30 ,$40 ,Hourly,Salary Info Available,This may entail guiding them through a deep dive in  analytics and should not require too much preparation.,Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,Berkeley Coding Academy , Remote,https://www.indeed.com/q-Berkeley-Coding-Academy-l-Remote-jobs.html,https://www.indeed.com/l-Remote-jobs.html,https://www.indeed.com/career/data-scientist/salaries?campaignid=serp-more&fromjk=48eaf76f2e207e75&from=serp-more,,,
https://www.indeed.com/rc/clk?jk=66a0563b34b35b97&fccid=b665f01429fa556c&vjs=3,Data Scientist,Remote,,,Yes,,,,No Salary Info Available,At least 2 years of experience in an analytical and/or   role in a business environment.,Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,LogMeIn , Remote,https://www.indeed.com/q-Logmein-l-Remote-jobs.html,https://www.indeed.com/l-Remote-jobs.html,https://www.indeed.com/career/data-scientist/salaries?campaignid=serp-more&fromjk=66a0563b34b35b97&from=serp-more,3.6,"https://www.indeed.com/cmp/Logmein,-Inc./faq",
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A9PxVD3LKEdooFJkbO_btSMI4M3WzYTHJabubeBgYACXJpfAF2IyaDWVaW88i-eY9NC_bZKq8YV-rAKnAoy8-Oz3IcBP2ucv9gBG4vFIdzS4xqvYu_r5BlHSVMulhbp7Aqo6_axkY_rWgYq6GS1-GtZ3jMknlXfGplsTb0Bh0lpsKEurWoSBSus3lpD_jQdRjwdHuBcqCCxvBTMr6eYs1SVV5bqUCfmqFpjQRs7o9qKEVgaO5sbWv8uX8n2dWIMLBiEnqGoECwJtI3Tr13odt_gR-kV3HPwwzLDGjm1wb3L1kWFvvxRKwv4VRHDKPND_Begg4Vz-eRUJ38u2zbFT75tHSOXJ5i3lGe2v8kXvwPv5MhzcEKE0OuMte1jO1Bf0wg_PvJ06DrmH_z7xBXvjlh35h9gye4cgQy64NQPiv--r8sLjsfN9-vOrsfVdERxfBK1xMOLlZiOkT5ilETNtmKkUr0y1bYQMxLWTRYqGRDRVBTFElghK0RbAxGmBb9jxw5W1Z_TpaUsWbD5TUJWWz2CH9zqwPv4rn26NseQjRn8zDwln3uHmelMa-OAt5RPy9B73E--uMPNS52L8eqn6l5d2b0KZaBzFa7jsBv8D4qW91bRxjYn63Qdk8_e83w7IqUCVW6ZtRDas87EXI0VZWqtlv8B0RNGgLM7o4CEmcNrKnh823EiR-njkBuc54UyVOTrvlf3ThFH4pxYIx2PdwJ&p=2&fvj=0&vjs=3,Data Quality Lead,Alpharetta,GA,30023,Unknown or No,,,,No Salary Info Available,"You will create processes then mitigate and remediate  quality issues, working with  stewards and business user teams.",Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,,,,,,3.9,,
https://www.indeed.com/rc/clk?jk=7ea4e44337640a5e&fccid=607d05b7f79c8f4c&vjs=3,"Senior Data Analyst (Remote, USA)",Boulder,CO,,Unknown or No,"$78,000 ","$105,000 ",Yearly,Salary Info Available,Statistical  analysis and modelling.,Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,YES,YES,Specialized Bicycle Components ," Boulder, CO","https://www.indeed.com/q-Specialized-Bicycle-Components-l-Boulder,-CO-jobs.html","https://www.indeed.com/l-Boulder,-CO-jobs.html",https://www.indeed.com/career/senior-data-analyst/salaries/Boulder--CO?campaignid=serp-more&fromjk=7ea4e44337640a5e&from=serp-more,3.4,https://www.indeed.com/cmp/Specialized-Bicycle-Components/faq,Remote
"https://www.indeed.com/company/Currance,-Inc./jobs/Data-Scientist-d400f332661b4eba?fccid=92be094a7194160b&vjs=3",Data Scientist,Remote,,,Yes,,,,No Salary Info Available,Data  and business intelligence.,Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,"Currance,c. ", Remote,"https://www.indeed.com/jobs?q=Currance,+Inc&l=Remote&nc=jasx",https://www.indeed.com/l-Remote-jobs.html,https://www.indeed.com/career/data-scientist/salaries?campaignid=serp-more&fromjk=d400f332661b4eba&from=serp-more,,,
https://www.indeed.com/rc/clk?jk=7ff3852a249d6a96&fccid=d844fa152b5f8ad2&vjs=3,Data Scientist,Virginia Beach,VA,,Unknown or No,,,,No Salary Info Available,"The ideal candidate will have a mix of advanced analytic and  engineering skills, with the ability to assemble  & build predictive and prescriptive…",Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,Sentara Healthcare ," Virginia Beach, VA","https://www.indeed.com/q-Sentara-Healthcare-l-Virginia-Beach,-VA-jobs.html","https://www.indeed.com/l-Virginia-Beach,-VA-jobs.html",https://www.indeed.com/career/data-scientist/salaries/Virginia-Beach--VA?campaignid=serp-more&fromjk=7ff3852a249d6a96&from=serp-more,3.8,https://www.indeed.com/cmp/Sentara-Healthcare/faq,
https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AetIiH8QZSgXAvsGsWQ6AA-ndiSQ5F4QNaVBWDRIvvSk_1449LljF3VJajqg0PqTaOoF6MzchjK1VKEXmj8eevn2lSPj8PV6U-AIJxDJGPRlbIeCpxdFNJENK8vtt0am-b0ch8I7mIO8wp4b7-n8KubMvj9j7vv5zzSOvNls3yovgzrRFJNYMpg_W8U9IL1hkeBDryoisrbtNbiWTd7Hh5Hw4puUHfb7upE7Nqc0a3yVyIUf1qVnoGi83qHXBsYV0YYK1TrkjuaoYM3mlserIiusxKw50gBN0c82G8VQbOvsoS6RBH9LO4-tKgvuuOm-qmYUxsLHVC1x5Lmkx3HGwnxFeQVOhYJvfdWmwyy7xUn49MaiDkqDwWtfy0yRMY4Kc15oSz7C5JFKo8LL_2BXtSE9ErBng7_xJ9ju0_M3IrD1042qPyh1_PkJGAqs3MjukZcVY68Q7uxeOgTgUi2axrUMbXto91se4gRJprxpcdEA==&p=6&fvj=1&vjs=3,Senior Data Engineer,Portland,OR,,Unknown or No,"$140,000 ","$150,000 ",Yearly,Salary Info Available,5+ years of experience with  engineering with emphasis on  analytics and reporting.,Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,YES,Unknown or No,,,,,,5.0,,Temporarily Remote
https://www.indeed.com/rc/clk?jk=574acbd2414cdda1&fccid=06b6e46c3cd5fbe3&vjs=3,Senior Data Analyst,Atlanta,GA,,Unknown or No,,,,No Salary Info Available,"3+ years of business analytics or   experience, preferably in the DFS, gaming, or technology industries.",Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,YES,YES,PrizePicks ," Atlanta, GA","https://www.indeed.com/q-Prizepicks-l-Atlanta,-GA-jobs.html","https://www.indeed.com/l-Atlanta,-GA-jobs.html",https://www.indeed.com/career/senior-data-analyst/salaries/Atlanta--GA?campaignid=serp-more&fromjk=574acbd2414cdda1&from=serp-more,,,
https://www.indeed.com/rc/clk?jk=0afc0cd44930e287&fccid=d1996fe0ea3bfec1&vjs=3,Senior Data Analyst,Remote,,,Yes,,,,No Salary Info Available,Experience with charting / visualizing  or creating dashboards.,Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,YES,YES,Green Dot Corporation , Remote,https://www.indeed.com/jobs?q=Green+Dot+Corporation&l=Remote&nc=jasx,https://www.indeed.com/l-Remote-jobs.html,https://www.indeed.com/career/senior-data-analyst/salaries?campaignid=serp-more&fromjk=0afc0cd44930e287&from=serp-more,3.4,https://www.indeed.com/cmp/Green-Dot-Corporation/faq,
https://www.indeed.com/rc/clk?jk=dc3a3492723f2ffe&fccid=d6ef41e202aa2c0b&vjs=3,Business Intelligence Analyst - LEADs,Remote,,,Yes,"$73,000 ","$105,000 ",Yearly,Salary Info Available,"3+ years of Industry experience in business analytics, business intelligence,  warehousing, and/or  science.",Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,Unknown or No,YES,Indeed , Remote,https://www.indeed.com/q-Indeed-l-Remote-jobs.html,https://www.indeed.com/l-Remote-jobs.html,https://www.indeed.com/career/business-intelligence-analyst/salaries?campaignid=serp-more&fromjk=dc3a3492723f2ffe&from=serp-more,4.3,https://www.indeed.com/cmp/Indeed/faq,
